wallet,value_eth_sum,value_eth_mean,value_eth_max,gas_spent_sum,gas_price_mean,successful_sum,successful_count,active_days,risk_score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0.047610808504821134,0.03332756595337479,0.1,0.7021431779513756,0.13598100901350224,0.9896907216494845,0.9999999999999999,0.2774283717679944,432
0x06b51c6882b27cb05e712185531c1f74996dd988,2.2142161884561802e-05,0.0003099902663838652,3.7199999999999996e-05,0.00032609526814614666,0.359957010076314,0.020618556701030924,0.020618556701030924,0.0,42
0x0795732aacc448030ef374374eaae57d2965c16c,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.39951463204450194,0.010309278350515462,0.010309278350515462,0.0,43
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0.18390580713316254,0.1609175812415172,0.13512630493338104,0.39358671697328046,0.27099895728098056,0.7938144329896907,0.7938144329896907,0.7222222222222222,443
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,2.369367261669409e-05,0.00033171141663371727,3.7199999999999996e-05,0.00032605950947210477,0.35537665384841854,0.020618556701030924,0.020618556701030924,0.0220125786163522,44
0x104ae61d8d487ad689969a17807ddc338b445416,0.0008754924421208443,0.01021407849140985,0.0009497150152000001,0.0004726849724914331,0.5637454398178114,0.030927835051546393,0.030927835051546393,0.24388539482879104,91
0x111c7208a7e2af345d36b6d4aace8740d61a3078,2.6434809362649822e-05,0.00030840610923091457,3.7199999999999996e-05,0.0008083754848388242,0.15314698645315583,0.030927835051546393,0.030927835051546393,0.0,25
0x124853fecb522c57d9bd5c21231058696ca6d596,3.122670362513287e-05,0.0003122670362513287,3.7199999999999996e-05,0.00117731560426618,0.11705933132428258,0.04123711340206185,0.04123711340206185,0.0,24
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00034752961334476523,0.23503820386098356,0.010309278350515462,0.010309278350515462,0.0,27
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0.007289045693084865,0.005102331985159405,0.016,0.09679419821950232,0.6604908380293633,0.979381443298969,0.9999999999999999,0.5216631726065688,427
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,3.5226135573255883e-06,4.109715816879853e-05,5.43904e-06,0.0005074483634391718,0.09138157671335355,0.030927835051546393,0.030927835051546393,0.007337526205450733,19
